X;Y;Attack1;Attack2;Ability;Protect;EnemyX;EnemyY;next_move;DistanceDifference
-0.8662076;-3.950016;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.3012076
-0.8377772;-3.950016;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.2727772
-0.8093469;-3.950016;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.2443469
-0.7793469;-3.87394;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.2143469
-0.7493469;-3.801788;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.1843469
-0.7193469;-3.73356;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.1543469
-0.689347;-3.669256;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.124347
-0.659347;-3.608876;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.094347
-0.629347;-3.55242;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.064347
-0.5993471;-3.499888;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.0343471
-0.5693471;-3.45128;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.0043471
-0.5393471;-3.406596;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.9743470999999999
-0.5093471;-3.365836;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.9443471000000001
-0.4793471;-3.329;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.9143471000000001
-0.4493471;-3.296088;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.8843471
-0.4193471;-3.2671;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.8543471
-0.3893471;-3.242036;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.8243471
-0.3593471;-3.220896;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.7943471
-0.3293471;-3.20368;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.7643471
-0.3293471;-3.190387;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.7643471
-0.3293471;-3.18102;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.7643471
-0.3293471;-3.175575;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.7643471
-0.3293471;-3.17646;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.7643471
-0.3293471;-3.193039;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.7643471
-0.3293471;-3.225315;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.7643471
-0.3293471;-3.273287;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.7643471
-0.3293471;-3.336955;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.7643471
-0.3293471;-3.461887;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.7643471
-0.4193471;-3.622135;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.8543471
-0.5093471;-3.817699;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.9443471000000001
-0.5093471;-3.957257;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.9443471000000001
-0.5093471;-3.952981;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.9443471000000001
-0.5093471;-3.95123;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.9443471000000001
-0.5093471;-3.950413;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.9443471000000001
-0.5093471;-3.950218;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.9443471000000001
-0.4809168;-3.950178;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.9159168
-0.4524864;-3.950145;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.8874864
-0.424056;-3.950119;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.859056
-0.3956256;-3.950098;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.8306256000000001
-0.3671952;-3.950081;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.8021952
-0.3371952;-3.874005;0;0;0.0;0.0;0.435;-3.945924;GoLeft;0.7721952
